IP地址,端口,地理位置
104.16.105.166,443,CA
104.16.146.219,443,CA
104.16.153.230,443,CA
104.16.65.1,443,CA
104.17.106.33,443,CA
104.17.126.14,443,CA
104.17.133.236,443,CA
104.17.139.37,443,CA
104.17.142.212,443,CA
104.17.144.210,443,CA
104.17.144.239,443,CA
104.17.145.42,443,CA
104.17.148.81,443,CA
104.17.149.22,443,CA
104.17.149.38,443,CA
104.17.149.52,443,CA
104.17.160.237,443,CA
104.17.162.3,443,CA
104.17.163.104,443,CA
104.17.167.134,443,CA
104.17.170.125,443,CA
104.17.171.139,443,CA
104.17.217.219,443,CA
104.17.59.41,443,CA
104.17.69.244,443,CA
104.18.140.175,443,CA
104.18.151.172,443,CA
104.18.166.129,443,CA
104.18.177.77,443,CA
104.18.189.153,443,CA
104.18.201.2,443,CA
104.18.223.253,443,CA
104.18.252.9,443,CA
104.18.255.167,443,CA
104.18.32.73,443,CA
104.18.46.170,443,CA
104.18.46.85,443,CA
104.18.81.19,443,CA
104.18.89.52,443,CA
104.19.148.121,443,CA
104.19.152.25,443,CA
104.19.154.200,443,CA
104.19.212.207,443,CA
104.19.220.22,443,CA
104.19.56.140,443,CA
104.26.3.162,443,CA
104.26.4.90,443,CA
104.26.5.134,443,CA
104.26.8.117,443,CA
104.31.16.158,443,CA
108.162.198.22,443,US
162.159.11.176,443,CA
162.159.128.253,443,CA
162.159.136.89,443,CA
162.159.137.204,443,CA
162.159.140.116,443,CA
162.159.140.85,443,CA
162.159.19.107,443,CA
162.159.24.131,443,CA
162.159.24.135,443,CA
162.159.25.152,443,CA
162.159.34.114,443,CA
162.159.37.251,443,CA
162.159.38.152,443,CA
162.159.39.118,443,CA
162.159.43.98,443,CA
162.159.44.33,443,CA
162.159.45.158,443,CA
162.159.58.65,443,CA
162.159.61.183,443,CA
172.64.229.7,443,CA
172.64.48.226,443,CA
172.64.52.127,443,CA
172.64.52.87,443,CA
172.64.53.155,443,CA
172.64.78.80,443,CA
172.64.82.114,443,CA
172.64.91.69,443,CA
173.245.49.194,443,CA
173.245.58.139,443,CA
173.245.58.151,443,CA
173.245.59.90,443,CA
198.41.194.162,443,CA
198.41.208.15,443,CA
198.41.208.224,443,CA
198.41.208.251,443,CA
198.41.209.39,443,CA
198.41.223.165,443,CA
198.41.223.249,443,CA
8.39.125.120,443,US
8.39.125.155,443,US
8.39.125.185,443,US
